"","ttext","score","date","isretweet","retweetcount","favoritecount","duplicate"
"166","RT @GENmag: Dining out may no longer be the main alternative to cooking at home, as many restaurants vanish.  

The winners will be compani","1","2020-05-05 13:52:07","TRUE","99","0",TRUE
"167","My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above the fireplace.","0","2020-05-05 13:51:46","FALSE","26","75",FALSE
"168","My Amazon packages are being delivered a lot quicker these days by random strangers.....Look amazon, we all know wh  ","1","2020-05-05 13:51:39","FALSE","0","2",FALSE
"169","How many days in a row will it take before @IKEAUSA answers my question about my order? Also this is why people con  ","0","2020-05-05 13:51:25","FALSE","0","2",FALSE
"170","RT @GENmag: Dining out may no longer be the main alternative to cooking at home, as many restaurants vanish.  

The winners will be compani","1","2020-05-05 13:51:20","TRUE","99","0",TRUE
"171","@agr_abhishek90 @Cashkarocom Hi Abhishek! No its not ended.. it was just paused during lockdown since all ecommerce  ","0","2020-05-05 13:51:07","FALSE","0","0",FALSE
"172","RT @GENmag: Dining out may no longer be the main alternative to cooking at home, as many restaurants vanish.  

The winners will be compani","1","2020-05-05 13:50:52","TRUE","99","0",TRUE
"173","RT @GENmag: Dining out may no longer be the main alternative to cooking at home, as many restaurants vanish.  

The winners will be compani","1","2020-05-05 13:50:48","TRUE","99","0",TRUE
"174","RT @PrisonCookies: brb my Amazon delivery guy is on his way and I need to apply lip gloss and wave to him from the window","0","2020-05-05 13:48:59","TRUE","28","0",FALSE
"175","Stay Fresh and Healthy all the Time with Unlimited Grocery Delivery to your door! Prime Fresh members in eligi  ","4","2020-05-05 13:45:29","FALSE","0","0",FALSE
"176","Dad! dad!..theres an Amazon delivery for you!.. ..ooh, this is exciting!..those vinyl hints Ive been dropping  ","0","2020-05-05 13:45:28","FALSE","0","7",FALSE
"177","@MAYASBRAlN Were temporarily experiencing longer than usual delivery times, please wait three days after your deli  ","0","2020-05-05 13:45:21","FALSE","0","0",FALSE
